record_id,customerID,primary_rule,rules_fired,severity,exposure,tenure,MonthlyCharges,expected_monthly,TotalCharges,Contract,PaymentMethod
3938,5712-VBOXD,rate_mismatch,"rate_mismatch,total_variance",LOW,56.04,4,24.63,19.96,68.45,Month-to-month,Credit card (automatic)
6009,4451-RWASJ,total_variance,total_variance,LOW,52.75,15,19.5,19.96,239.75,One year,Mailed check
5227,8044-BGWPI,total_variance,total_variance,LOW,52.25,12,21.15,19.96,306.05,Month-to-month,Electronic check
3409,2108-YKQTY,total_variance,total_variance,LOW,51.5,4,50.7,50.03,151.3,Month-to-month,Credit card (automatic)
5686,4475-NVTLU,rate_mismatch,"rate_mismatch,total_variance",LOW,51.48,45,24.25,19.96,903.7,Two year,Electronic check
342,6885-PKOAM,rate_mismatch,rate_mismatch,LOW,50.76,71,85.75,89.98,6223.8,Two year,Credit card (automatic)
1188,8089-UZWLX,rate_mismatch,rate_mismatch,LOW,49.68,71,104.05,99.91,7413.55,Two year,Bank transfer (automatic)
5852,4118-CEVPF,rate_mismatch,rate_mismatch,LOW,49.68,35,110.8,114.94,3836.3,One year,Bank transfer (automatic)
4044,3308-JSGML,rate_mismatch,rate_mismatch,LOW,49.44,59,64.05,59.93,3886.85,Two year,Credit card (automatic)
6829,2005-DWQZJ,total_variance,total_variance,LOW,49.3,8,19.05,19.96,201.7,Two year,Mailed check
5191,3001-UNBTL,rate_mismatch,rate_mismatch,LOW,48.48,29,103.95,99.91,2964.8,Month-to-month,Electronic check
95,9848-JQJTX,rate_mismatch,rate_mismatch,LOW,48.24,72,100.9,104.92,7459.05,Two year,Bank transfer (automatic)
2859,9512-PHSMG,total_variance,total_variance,LOW,47.25,10,20.55,19.96,252.75,Month-to-month,Mailed check
1662,3761-FLYZI,rate_mismatch,rate_mismatch,LOW,46.56,65,108.8,104.92,7082.45,Month-to-month,Bank transfer (automatic)
1140,3082-WQRVY,total_variance,total_variance,LOW,46.45,14,19.65,19.96,228.65,One year,Mailed check
4587,7569-NMZYQ,rate_mismatch,rate_mismatch,LOW,45.72,72,118.75,114.94,8672.45,Two year,Bank transfer (automatic)
694,2276-YDAVZ,total_variance,total_variance,LOW,45.4,3,75.1,74.97,270.7,Month-to-month,Credit card (automatic)
2116,8984-HPEMB,rate_mismatch,rate_mismatch,LOW,44.52,71,118.65,114.94,8477.6,Two year,Electronic check
4204,4291-YZODP,total_variance,total_variance,LOW,43.55,7,20.05,19.96,96.8,One year,Mailed check
2479,7878-JGDKK,total_variance,total_variance,LOW,42.55,4,44.55,45.02,220.75,Month-to-month,Mailed check
870,0323-XWWTN,total_variance,total_variance,LOW,42.05,3,26.4,24.96,121.25,Two year,Mailed check
3251,6924-TDGMT,total_variance,total_variance,LOW,41.1,11,20.55,19.96,184.95,One year,Mailed check
5674,6260-XLACS,total_variance,total_variance,LOW,39.0,4,19.7,19.96,117.8,One year,Mailed check
4263,5485-WUYWF,total_variance,total_variance,LOW,38.25,2,66.4,64.99,94.55,Month-to-month,Bank transfer (automatic)
2505,8433-WXGNA,total_variance,total_variance,LOW,37.8,2,75.7,74.98,189.2,Month-to-month,Electronic check
3946,3815-SLMEF,total_variance,total_variance,LOW,36.6,3,34.25,34.99,139.35,Month-to-month,Mailed check
5040,4713-LZDRV,total_variance,total_variance,LOW,35.85,2,79.6,79.95,195.05,Month-to-month,Electronic check
4968,4398-HSCJH,total_variance,total_variance,LOW,35.15,3,63.6,64.99,155.65,Month-to-month,Electronic check
1262,4741-WWJQZ,total_variance,total_variance,LOW,34.25,2,80.15,80.0,194.55,Month-to-month,Electronic check
3736,3489-HHPFY,total_variance,total_variance,LOW,34.05,2,84.05,84.93,134.05,Month-to-month,Electronic check
4887,2673-ZALNP,total_variance,total_variance,LOW,33.85,7,19.9,19.96,173.15,One year,Mailed check
3942,4797-MIWUM,total_variance,total_variance,LOW,32.95,7,20.25,19.96,174.7,Month-to-month,Bank transfer (automatic)
2748,8295-FHIVV,total_variance,total_variance,LOW,32.85,7,19.4,19.96,168.65,Month-to-month,Mailed check
6830,8148-WOCMK,total_variance,total_variance,LOW,31.8,8,19.6,19.96,125.0,Two year,Credit card (automatic)
6156,4903-UYAVB,total_variance,total_variance,LOW,29.3,5,19.35,19.96,126.05,Month-to-month,Mailed check
5312,8053-WWDRO,total_variance,total_variance,LOW,29.3,6,19.5,19.96,146.3,Month-to-month,Bank transfer (automatic)
2042,3546-GHEAE,total_variance,total_variance,LOW,29.2,7,19.45,19.96,165.35,Two year,Mailed check
777,9505-SQFSW,total_variance,total_variance,LOW,28.4,3,40.3,39.95,92.5,Month-to-month,Mailed check
3028,1614-JBEBI,total_variance,total_variance,LOW,28.0,8,20.7,19.96,137.6,Month-to-month,Mailed check
6569,5647-URDKA,total_variance,total_variance,LOW,27.35,8,19.7,19.96,130.25,Two year,Mailed check
2951,3345-JHUEO,total_variance,total_variance,LOW,25.1,4,20.2,19.96,55.7,Month-to-month,Electronic check
3596,2260-USTRB,total_variance,total_variance,LOW,24.45,2,70.2,69.98,115.95,Month-to-month,Bank transfer (automatic)
2125,7802-EFKNY,total_variance,total_variance,LOW,24.35,5,24.95,24.97,100.4,Month-to-month,Electronic check
4771,7762-ONLJY,total_variance,total_variance,LOW,23.75,6,19.7,19.96,94.45,One year,Mailed check
4488,4116-IQRFR,total_variance,total_variance,LOW,23.3,4,24.1,24.96,73.1,One year,Credit card (automatic)
1142,1641-BYBTK,total_variance,total_variance,LOW,22.85,6,20.2,19.96,98.35,Month-to-month,Mailed check
5596,2308-STERM,total_variance,total_variance,LOW,22.25,2,19.4,19.96,61.05,Month-to-month,Mailed check
3812,3620-MWJNE,total_variance,total_variance,LOW,21.6,2,54.45,55.04,87.3,Month-to-month,Mailed check
106,6180-YBIQI,total_variance,total_variance,LOW,21.3,5,24.3,24.97,100.2,Month-to-month,Mailed check
3223,6817-WTYHE,total_variance,total_variance,LOW,21.25,2,44.9,45.02,111.05,Month-to-month,Bank transfer (automatic)
3939,6629-LADHQ,total_variance,total_variance,LOW,21.15,2,50.95,50.03,123.05,Month-to-month,Mailed check
5918,5144-PQCDZ,total_variance,total_variance,LOW,20.55,4,19.95,19.96,59.25,Month-to-month,Mailed check
125,7219-TLZHO,total_variance,total_variance,LOW,20.5,4,20.85,19.96,62.9,Month-to-month,Mailed check
1724,2587-YNLES,total_variance,total_variance,LOW,20.25,6,20.1,19.96,100.35,Two year,Mailed check
1169,5562-BETPV,total_missing,total_missing,LOW,19.65,1,19.65,19.96,,One year,Mailed check
6373,6368-TZZDT,total_variance,total_variance,LOW,18.85,4,19.5,19.96,96.85,Two year,Credit card (automatic)
562,7343-EOBEU,total_variance,total_variance,LOW,18.25,3,23.6,24.96,89.05,Month-to-month,Mailed check
3044,3677-IYRBF,total_variance,total_variance,LOW,17.85,2,30.4,29.97,78.65,Month-to-month,Electronic check
5953,4430-YHXGG,total_variance,total_variance,LOW,17.6,4,25.45,24.96,84.2,Month-to-month,Mailed check
4690,2832-SCUCO,total_variance,total_variance,LOW,17.6,2,19.9,19.96,57.4,Month-to-month,Electronic check
361,9294-TDIPC,total_variance,total_variance,LOW,17.25,5,20.2,19.96,83.75,Month-to-month,Mailed check
4899,8993-PHFWD,total_variance,total_variance,LOW,16.85,3,25.25,24.97,58.9,Month-to-month,Electronic check
5662,4396-KLSEH,total_variance,total_variance,LOW,16.4,4,19.85,19.96,63.0,Month-to-month,Electronic check
6266,3278-FSIXX,total_variance,total_variance,LOW,16.3,2,45.25,45.02,74.2,Month-to-month,Mailed check
3140,1142-WACZW,total_variance,total_variance,LOW,15.9,2,29.85,29.98,75.6,Month-to-month,Bank transfer (automatic)
4455,8410-BGQXN,total_variance,total_variance,LOW,15.8,4,19.4,19.96,93.4,Month-to-month,Mailed check
4635,9426-SXNHE,total_variance,total_variance,LOW,15.65,2,18.75,19.96,53.15,Month-to-month,Bank transfer (automatic)
1931,2792-VPPET,total_variance,total_variance,LOW,15.45,3,20.5,19.96,76.95,Month-to-month,Electronic check
6351,3407-QGWLG,total_variance,total_variance,LOW,15.3,3,20.05,19.96,75.45,Month-to-month,Mailed check
6259,5066-GFJMM,total_variance,total_variance,LOW,13.95,3,19.9,19.96,45.75,Month-to-month,Mailed check
1621,6022-KOUQO,total_variance,total_variance,LOW,13.35,2,29.05,29.98,44.75,Month-to-month,Bank transfer (automatic)
4970,2303-PJYHN,total_variance,total_variance,LOW,12.3,2,19.85,19.96,52.0,Month-to-month,Bank transfer (automatic)
853,8713-IGZSO,total_variance,total_variance,LOW,12.3,2,24.85,24.96,62.0,Month-to-month,Mailed check
3622,2933-FILNV,total_variance,total_variance,LOW,12.25,2,24.4,24.97,36.55,Month-to-month,Mailed check
2699,8150-QUDFX,total_variance,total_variance,LOW,11.9,2,19.85,19.96,51.6,Month-to-month,Mailed check
2375,9101-NTIXF,total_variance,total_variance,LOW,11.8,2,19.4,19.96,50.6,Month-to-month,Mailed check
5879,8909-BOLNL,total_variance,total_variance,LOW,11.55,3,21.2,19.96,52.05,One year,Mailed check
901,1051-GEJLJ,total_variance,total_variance,LOW,11.45,2,19.5,19.96,27.55,Month-to-month,Mailed check
3928,4390-KYULV,total_variance,total_variance,LOW,10.5,3,20.55,19.96,51.15,Month-to-month,Credit card (automatic)
4792,7808-DVWEP,total_variance,total_variance,LOW,10.35,3,20.0,19.96,49.65,Month-to-month,Bank transfer (automatic)
3791,6598-RFFVI,total_variance,total_variance,LOW,10.3,2,19.3,19.96,28.3,One year,Credit card (automatic)
3081,1777-JYQPJ,total_variance,total_variance,LOW,10.15,2,24.3,24.97,38.45,Month-to-month,Mailed check
1134,3156-QLHBO,total_variance,total_variance,LOW,9.85,2,19.25,19.96,48.35,Month-to-month,Mailed check
3476,8610-ZIKJJ,total_variance,total_variance,LOW,8.7,2,20.3,19.96,31.9,One year,Mailed check
6159,3845-FXCYS,total_variance,total_variance,LOW,8.1,2,19.65,19.96,31.2,Month-to-month,Electronic check
704,6942-LBFDP,total_variance,total_variance,LOW,7.5,2,20.55,19.96,33.6,Month-to-month,Mailed check
6278,4195-SMMNX,total_variance,total_variance,LOW,7.5,2,20.35,19.96,33.2,Month-to-month,Mailed check
4661,0883-EIBTI,total_variance,total_variance,LOW,7.45,2,19.5,19.96,31.55,Month-to-month,Mailed check
6855,9700-ZCLOT,total_variance,total_variance,LOW,7.3,2,20.0,19.96,32.7,Month-to-month,Mailed check
